,Contest,Rating,Rank,Plagarised
0,Starters 114 Division 4 (Rated),1414,625,No
1,Starters 115 Division 4 (Rated),1457,2736,No
2,Starters 116 Division 3 (Rated),1407,3192,No
3,Starters 117 Division 4 (Rated),1434,3278,No
4,Starters 118 Division 4 (Rated),1473,2905,No
5,Starters 119 Division 3 (Rated),1493,2209,No
6,Starters 120 Division 3 (Rated),1477,3489,No
7,Starters 121 Division 3 (Rated),1505,1653,No
8,Starters 122 Division 3 (Rated),1531,1552,No
9,Starters 123 Division 3 (Rated),1532,2621,No
10,Starters 124 Division 3 (Rated),1543,2213,No
11,Starters 126 Division 3 (Rated),1548,2031,No
12,Starters 128 Division 3 (Rated),1555,1768,No
13,Starters 129 Division 3 (Rated),1567,1456,No
14,Starters 130 Division 3 (Rated),1579,1309,No
15,Starters 132 Division 3 (Rated),1578,1338,No
16,Starters 134 Division 3 (Rated),1578,1407,No
17,Starters 136 Division 3 ( Rated ),1564,2574,No
18,Starters 137 Division 3 (Rated),1545,2892,No
19,Starters 138 Division 3 (Rated),1534,2544,No
20,Starters 141 Division 3 (Rated),1544,1414,No
21,Starters 142 Division 3 (Rated),1543,2170,No
